id,host_id,neighbourhood,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,availability_365
408794,2035506,De Baarsjes - Oud-West,Entire home/apt,129,3,23,2018-08-27,0.31,5
409893,2040542,Centrum-Oost,Entire home/apt,160,6,96,2018-11-06,1.2,240
410998,2046301,De Baarsjes - Oud-West,Entire home/apt,120,2,6,2016-08-15,0.12,0
414865,2063261,Zuid,Entire home/apt,115,4,7,2018-04-24,0.17,55
414917,2063612,Centrum-Oost,Entire home/apt,299,180,78,2015-07-16,0.98,358
415619,1336633,Oostelijk Havengebied - Indische Buurt,Entire home/apt,145,2,57,2018-11-17,0.72,247
418098,2078292,De Baarsjes - Oud-West,Entire home/apt,185,3,19,2018-10-21,0.24,0
418901,1005087,Centrum-West,Entire home/apt,260,7,39,2018-11-30,0.5,272
422044,1826139,Centrum-West,Entire home/apt,275,7,128,2018-11-16,1.61,260
424248,2108995,Geuzenveld - Slotermeer,Entire home/apt,105,2,30,2018-10-12,0.37,155
425575,2040542,Centrum-Oost,Entire home/apt,140,6,92,2018-07-30,1.15,324
431206,2143683,Zuid,Entire home/apt,250,2,21,2017-08-21,0.27,0
431635,1939922,Bos en Lommer,Entire home/apt,65,3,13,2018-08-25,0.17,0
432233,2144360,Centrum-Oost,Entire home/apt,300,3,23,2017-05-07,0.29,363
432610,1725242,De Pijp - Rivierenbuurt,Entire home/apt,99,1,0,,,98
432750,1725242,De Pijp - Rivierenbuurt,Entire home/apt,28,10,1,2018-07-21,0.22,0
434097,2157711,Centrum-Oost,Private room,82,2,175,2018-11-28,2.52,29
437757,2174719,De Pijp - Rivierenbuurt,Entire home/apt,109,4,113,2018-05-10,1.41,35
438089,2064560,De Baarsjes - Oud-West,Private room,99,2,133,2018-11-22,1.76,136
439097,2181530,De Baarsjes - Oud-West,Entire home/apt,125,4,48,2018-08-10,0.71,0
440992,2191136,Zuid,Entire home/apt,150,3,92,2018-06-18,1.16,42
441424,2193861,Oostelijk Havengebied - Indische Buurt,Entire home/apt,150,3,27,2018-08-26,0.35,41
442105,2196820,De Baarsjes - Oud-West,Entire home/apt,250,2,102,2018-09-25,1.3,225
443698,2204326,Centrum-Oost,Private room,135,1,46,2018-12-06,0.59,193
444935,2059471,Centrum-Oost,Entire home/apt,149,4,9,2017-08-17,0.34,0
446592,1543378,De Pijp - Rivierenbuurt,Private room,100,2,184,2018-11-12,2.31,350
446999,2064560,De Baarsjes - Oud-West,Private room,89,2,245,2018-11-19,3.27,142
447151,2220492,Zuid,Entire home/apt,85,4,70,2018-06-26,0.87,4
450767,2238440,Centrum-Oost,Entire home/apt,255,3,59,2018-10-14,0.78,117
451408,1739359,De Pijp - Rivierenbuurt,Entire home/apt,240,4,44,2018-07-08,0.55,4
451719,2243649,Centrum-West,Entire home/apt,175,3,60,2018-07-30,0.76,320
454056,2255820,Oostelijk Havengebied - Indische Buurt,Entire home/apt,125,4,28,2018-10-15,0.36,0
455881,81046,Oud-Oost,Entire home/apt,175,3,18,2018-10-22,0.23,82
460469,1997447,Oud-Oost,Entire home/apt,110,3,46,2017-08-18,0.58,0
462341,2297302,Centrum-West,Entire home/apt,170,3,26,2018-10-14,0.59,2
462809,2299713,Oostelijk Havengebied - Indische Buurt,Private room,72,3,211,2018-12-03,2.71,9
466259,1907015,Oud-Oost,Entire home/apt,235,3,2,2016-01-03,0.06,0
467103,2313040,Centrum-West,Entire home/apt,160,2,150,2018-09-01,1.89,0
467581,2321097,Centrum-West,Entire home/apt,240,3,153,2018-01-16,1.94,0
467852,8003829,Centrum-West,Entire home/apt,647,7,16,2018-08-14,0.2,271
474452,2352274,De Baarsjes - Oud-West,Entire home/apt,125,3,28,2016-12-07,0.41,0
480245,2378237,Oud-Oost,Entire home/apt,150,2,14,2018-09-09,0.32,0
481664,1382273,Westerpark,Private room,105,2,362,2018-11-18,6.04,276
483779,2395278,Slotervaart,Private room,72,2,38,2017-10-22,1.47,0
484836,2396890,De Baarsjes - Oud-West,Entire home/apt,140,3,51,2016-07-27,0.65,13
485237,2402296,Slotervaart,Entire home/apt,75,1,31,2018-10-27,0.4,0
489418,2418579,Bos en Lommer,Entire home/apt,79,2,96,2015-01-03,1.22,0
489832,2421854,De Baarsjes - Oud-West,Entire home/apt,130,7,29,2018-10-24,0.4,119
494433,907405,De Baarsjes - Oud-West,Entire home/apt,90,4,16,2018-11-11,0.21,0
495862,2449055,De Baarsjes - Oud-West,Entire home/apt,400,4,11,2017-05-08,0.17,291
496953,2453971,De Baarsjes - Oud-West,Entire home/apt,350,2,28,2018-09-10,0.37,0
498514,2460925,De Pijp - Rivierenbuurt,Entire home/apt,140,3,23,2018-09-03,0.31,125
500516,2469696,Centrum-Oost,Entire home/apt,155,1,18,2018-09-02,0.27,218
502869,2480479,Westerpark,Entire home/apt,110,3,16,2018-10-21,0.21,22
503629,2483843,Zuid,Entire home/apt,114,4,9,2017-08-21,0.14,0
505012,1645998,Centrum-Oost,Entire home/apt,299,3,54,2018-10-23,0.72,163
505650,2492723,Zuid,Private room,130,3,101,2018-12-02,1.35,265
505804,2493425,Westerpark,Entire home/apt,85,3,87,2018-12-03,1.12,2
507598,2501656,Centrum-West,Entire home/apt,400,2,56,2018-11-18,0.72,116
510836,1826139,Centrum-West,Entire home/apt,700,7,108,2018-11-09,1.54,294
513743,2531171,Oostelijk Havengebied - Indische Buurt,Entire home/apt,460,3,35,2017-10-04,0.45,12
514946,2536209,Watergraafsmeer,Entire home/apt,120,5,6,2016-01-03,0.09,0
515088,2536879,Noord-Oost,Private room,130,2,1,2018-07-26,0.22,353
515921,2541099,Zuid,Entire home/apt,100,2,63,2018-11-04,0.8,73
517092,2041793,De Baarsjes - Oud-West,Entire home/apt,135,6,0,,,0
517996,2550339,Centrum-West,Entire home/apt,160,3,18,2018-09-17,0.24,56
522471,2569931,Bos en Lommer,Entire home/apt,180,4,21,2018-07-31,0.31,0
528022,2594559,Westerpark,Private room,110,2,132,2018-12-03,5.0,302
528594,2597146,Slotervaart,Private room,80,1,72,2018-05-05,0.93,0
528704,2597578,De Pijp - Rivierenbuurt,Private room,60,60,48,2018-05-05,0.62,64
529174,8003829,Centrum-West,Entire home/apt,600,7,68,2018-11-25,0.88,308
530136,2604093,Centrum-Oost,Private room,55,2,306,2018-12-01,3.9,329
532727,2276324,Zuid,Entire home/apt,170,3,22,2018-09-14,0.35,339
533623,2622306,Zuid,Entire home/apt,150,3,39,2018-10-26,0.73,0
537321,2639261,De Baarsjes - Oud-West,Entire home/apt,149,2,24,2018-11-25,0.73,40
538723,356740,Watergraafsmeer,Entire home/apt,140,4,50,2018-10-23,0.64,2
538844,2646706,De Baarsjes - Oud-West,Private room,70,1,275,2018-07-09,4.06,4
539036,82145,Centrum-Oost,Entire home/apt,288,3,58,2018-07-23,0.76,99
539579,1305208,De Baarsjes - Oud-West,Private room,60,2,151,2018-11-25,2.01,311
539700,2651853,De Baarsjes - Oud-West,Entire home/apt,95,4,20,2016-11-01,0.26,0
540194,746739,Centrum-West,Entire home/apt,250,3,16,2018-10-28,0.21,158
543262,534206,Zuid,Entire home/apt,150,2,55,2017-08-11,0.88,97
543930,2674073,Oud-Oost,Entire home/apt,139,4,7,2018-07-30,0.09,0
543932,2303229,Westerpark,Entire home/apt,295,4,106,2018-11-19,1.36,365
544506,2677807,Bos en Lommer,Entire home/apt,200,5,47,2018-07-03,0.63,345
